uid,gen,val_accuracy,num_params,train_time,num_conv,f1,f2,f3,f4,kernel_idx,pool_idx,num_dense,dense_idx,act_idx,batchnorm,skip
25,3,0.993,506794,47.9534330368042,4,1,3,3,1,0,0,2,3,2,1,1
25,4,0.993,506794,47.9534330368042,4,1,3,3,1,0,0,2,3,2,1,1
25,5,0.993,506794,47.9534330368042,4,1,3,3,1,0,0,2,3,2,1,1
32,5,0.993,506794,49.23315238952637,4,1,3,3,1,0,0,2,3,2,1,1
32,4,0.993,506794,49.23315238952637,4,1,3,3,1,0,0,2,3,2,1,1
12,3,0.9925,769450,48.615304946899414,4,1,3,3,1,0,0,3,3,2,1,1
12,2,0.9925,769450,48.615304946899414,4,1,3,3,1,0,0,3,3,2,1,1
12,4,0.9925,769450,48.615304946899414,4,1,3,3,1,0,0,3,3,2,1,1
34,5,0.9921666666666666,506794,50.19486045837402,4,1,3,3,1,0,0,2,3,2,1,1
35,5,0.9921666666666666,506794,48.26832914352417,4,1,3,3,1,0,0,2,3,2,1,1
0,2,0.9918333333333333,769450,53.94517779350281,4,1,3,3,1,0,0,3,3,2,1,1
0,1,0.9918333333333333,769450,53.94517779350281,4,1,3,3,1,0,0,3,3,2,1,1
0,3,0.9918333333333333,769450,53.94517779350281,4,1,3,3,1,0,0,3,3,2,1,1
37,5,0.9916666666666667,506794,47.519968032836914,4,1,3,3,1,0,0,2,3,2,1,1
30,4,0.9916666666666667,769450,49.643338680267334,4,1,3,3,1,0,0,3,3,2,1,1
36,5,0.9916666666666667,691370,47.92525100708008,4,1,3,4,1,0,0,2,3,2,1,1
39,5,0.9916666666666667,506794,47.28854203224182,4,1,3,3,1,0,0,2,3,2,1,1
29,4,0.9916666666666667,769450,47.89684820175171,4,1,3,3,1,0,0,3,3,2,1,1
33,4,0.9915,1163178,49.898236989974976,4,1,3,3,1,1,0,3,3,2,1,1
21,3,0.9915,769450,54.54336714744568,4,1,3,3,1,0,0,3,3,2,1,1
20,3,0.9913333333333333,1111546,48.09458136558533,4,0,3,3,1,1,1,3,3,2,1,0
26,4,0.9913333333333333,769450,48.69444799423218,4,1,3,3,1,0,0,3,3,2,1,1
13,2,0.9913333333333333,769450,49.58540987968445,4,1,3,3,1,0,0,3,3,2,1,1
40,5,0.9913333333333333,769450,48.63090634346008,4,1,3,3,1,0,0,3,3,2,1,1
38,5,0.9911666666666666,506794,48.16369700431824,4,1,3,3,1,0,0,2,3,2,1,1
11,2,0.9911666666666666,1111546,47.32260036468506,4,0,3,3,1,1,1,3,3,2,1,0
10,2,0.991,137930,49.398483991622925,4,1,1,3,0,0,0,2,2,3,1,1
17,2,0.991,848890,47.45883584022522,4,0,3,3,1,1,1,2,3,1,1,1
41,5,0.9908333333333333,1163178,48.48848843574524,4,1,3,3,1,1,0,3,3,2,1,1
31,4,0.9908333333333333,769450,50.26319169998169,4,1,3,3,1,0,0,3,3,2,1,1
27,4,0.9905,1210314,57.9064085483551,4,3,3,3,1,1,1,2,3,2,1,0
1,1,0.9903333333333333,13942298,325.61669874191284,4,5,0,5,5,2,0,1,3,2,0,0
1,2,0.9903333333333333,13942298,325.61669874191284,4,5,0,5,5,2,0,1,3,2,0,0
19,3,0.9901666666666666,769450,48.354267835617065,4,1,3,3,1,0,0,3,3,2,1,1
23,3,0.9898333333333333,765754,47.971590518951416,4,0,1,3,1,1,1,3,3,2,1,0
24,3,0.9896666666666667,203722,48.109557151794434,4,1,1,3,0,0,0,3,2,3,1,1
18,3,0.9896666666666667,769450,47.10994744300842,4,1,3,3,1,0,0,3,3,2,1,1
22,3,0.9891666666666666,276362,48.01427745819092,4,1,3,3,0,0,0,2,2,3,1,1
16,2,0.988,203722,48.853110551834106,4,1,1,3,0,0,0,3,2,2,1,1
4,1,0.9868333333333333,239898,46.21348857879639,4,0,1,3,0,1,1,2,2,3,1,0
14,2,0.9818333333333333,605258,47.52480626106262,2,1,4,3,1,1,0,2,3,1,0,1
2,1,0.981,605258,43.418227434158325,2,1,4,3,1,1,0,2,3,1,0,1
15,2,0.9805,605258,43.666088342666626,2,1,4,3,1,1,0,2,3,1,0,1
8,1,0.971,506122,47.348973512649536,2,2,3,1,5,2,1,2,2,0,0,1
28,4,0.9501666666666667,633962,46.324052572250366,2,1,3,3,1,0,0,3,3,2,1,1
5,1,0.945,114602,47.42491173744202,2,2,1,0,4,2,2,1,2,0,0,1
7,1,0.8455,212746,42.0085973739624,1,4,0,3,5,2,2,3,2,2,0,1
6,1,0.628,71466,42.67703127861023,2,0,4,0,1,0,2,1,1,3,0,0
9,1,0.5565,6330,41.99364352226257,1,0,4,1,4,1,0,2,0,1,1,1
3,1,0.5355,14010,40.41212773323059,1,0,5,4,0,0,0,1,3,3,1,0
